38506-0001-Data
FIPS,YEAR,REG_VOTERS (use 2020 ONLY),"REG_VOTER_TURNOUT_PCT (Average 12, 16, 20 result for EACH county)",,,,,,,,,,,,,,
1001,2012,37170,0.647430717945,,,,,,,,,,,,,,
1001,2016,38187,0.658496320248,,,,,,,,,,,,,,
1001,2020,43695,0.636525928974,,,,,,,,,,,,,,
1003,2012,126703,0.677750349045,,,,,,,,,,,,,,
1003,2016,146824,0.655403733253,,,,,,,,,,,,,,
1003,2020,176668,0.62384814024,,,,,,,,,,,,,,
1005,2012,17318,0.666012227535,,,,,,,,,,,,,,
1005,2016,17102,0.616536080837,,,,,,,,,,,,,,
1005,2020,17850,0.591596662998,,,,,,,,,,,,,,
1007,2012,12819,0.659489810467,,,,,,,,,,,,,,
1007,2016,13510,0.655292391777,,,,,,,,,,,,,,
1007,2020,15014,0.641401350498,,,,,,,,,,,,,,
1009,2012,33951,0.714294135571,,,,,,,,,,,,,,
1009,2016,37718,0.682432770729,,,,,,,,,,,,,,
1009,2020,41927,0.65983736515,,,,,,,,,,,,,,
1011,2012,7817,0.682486891747,,,,,,,,,,,,,,
1011,2016,7424,0.638739228249,,,,,,,,,,,,,,
1011,2020,7457,0.621295452118,,,,,,,,,,,,,,
1013,2012,13488,0.70210558176,,,,,,,,,,,,,,
1013,2016,13805,0.635566830635,,,,,,,,,,,,,,
1013,2020,14646,0.650484800339,,,,,,,,,,,,,,
1015,2012,70093,0.662477016449,,,,,,,,,,,,,,
1015,2016,74433,0.645896315575,,,,,,,,,,,,,,
1015,2020,81674,0.626160085201,,,,,,,,,,,,,,
1017,2012,24463,0.600171685219,,,,,,,,,,,,,,
1017,2016,24020,0.578850984573,,,,,,,,,,,,,,
1017,2020,26077,0.589561700821,,,,,,,,,,,,,,
1019,2012,15343,0.646223008633,,,,,,,,,,,,,,
1019,2016,16970,0.639952838421,,,,,,,,,,,,,,
1019,2020,19469,0.633879482746,,,,,,,,,,,,,,
1021,2012,27922,0.630971968174,,,,,,,,,,,,,,
1021,2016,28579,0.645928800106,,,,,,,,,,,,,,
1021,2020,29873,0.648277699947,,,,,,,,,,,,,,
1023,2012,10988,0.727793931961,,,,,,,,,,,,,,
1023,2016,10990,0.667333960533,,,,,,,,,,,,,,
1023,2020,11033,0.681138396263,,,,,,,,,,,,,,
1025,2012,19237,0.723865449429,,,,,,,,,,,,,,
1025,2016,19400,0.675257742405,,,,,,,,,,,,,,
1025,2020,19676,0.670105695724,,,,,,,,,,,,,,
1027,2012,10488,0.644927561283,,,,,,,,,,,,,,
1027,2016,10204,0.650823235512,,,,,,,,,,,,,,
1027,2020,10468,0.668322503567,,,,,,,,,,,,,,
1029,2012,9985,0.641562342644,,,,,,,,,,,,,,
1029,2016,10845,0.612724781036,,,,,,,,,,,,,,
1029,2020,11516,0.629993081093,,,,,,,,,,,,,,
1031,2012,31555,0.632451295853,,,,,,,,,,,,,,
1031,2016,33524,0.628922581673,,,,,,,,,,,,,,
1031,2020,37163,0.602400243282,,,,,,,,,,,,,,
1033,2012,36725,0.642641246319,,,,,,,,,,,,,,
1033,2016,38334,0.65409296751,,,,,,,,,,,,,,
1033,2020,43748,0.639663517475,,,,,,,,,,,,,,
1035,2012,10658,0.663820624352,,,,,,,,,,,,,,
1035,2016,10488,0.633104503155,,,,,,,,,,,,,,
1035,2020,10413,0.621530771255,,,,,,,,,,,,,,
1037,2012,8274,0.639956474304,,,,,,,,,,,,,,
1037,2016,8123,0.650991022587,,,,,,,,,,,,,,
1037,2020,8403,0.653814136982,,,,,,,,,,,,,,
1039,2012,23401,0.663945972919,,,,,,,,,,,,,,
1039,2016,25347,0.633842289448,,,,,,,,,,,,,,
1039,2020,28338,0.618427574635,,,,,,,,,,,,,,
1041,2012,9735,0.661736011505,,,,,,,,,,,,,,
1041,2016,9958,0.633560955524,,,,,,,,,,,,,,
1041,2020,10619,0.625765144825,,,,,,,,,,,,,,
1043,2012,52201,0.663646280766,,,,,,,,,,,,,,
1043,2016,55908,0.681262075901,,,,,,,,,,,,,,
1043,2020,62707,0.669542491436,,,,,,,,,,,,,,
1045,2012,32006,0.585796415806,,,,,,,,,,,,,,
1045,2016,31420,0.599904537201,,,,,,,,,,,,,,
1045,2020,35835,0.553592860699,,,,,,,,,,,,,,
1047,2012,33009,0.637371599674,,,,,,,,,,,,,,
1047,2016,32530,0.581647694111,,,,,,,,,,,,,,
1047,2020,31849,0.563565552235,,,,,,,,,,,,,,
1049,2012,38223,0.634984195232,,,,,,,,,,,,,,
1049,2016,40824,0.63781106472,,,,,,,,,,,,,,
1049,2020,45221,0.65126824379,,,,,,,,,,,,,,
1051,2012,48864,0.728082001209,,,,,,,,,,,,,,
1051,2016,54061,0.692809998989,,,,,,,,,,,,,,
1051,2020,60857,0.676158845425,,,,,,,,,,,,,,
1053,2012,22968,0.651994049549,,,,,,,,,,,,,,
1053,2016,24374,0.613850831985,,,,,,,,,,,,,,
1053,2020,27240,0.585756242275,,,,,,,,,,,,,,
1055,2012,65975,0.650503993034,,,,,,,,,,,,,,
1055,2016,69355,0.640991985798,,,,,,,,,,,,,,
1055,2020,76054,0.629408061504,,,,,,,,,,,,,,
1057,2012,11482,0.698223292828,,,,,,,,,,,,,,
1057,2016,12155,0.683011114597,,,,,,,,,,,,,,
1057,2020,13043,0.675841450691,,,,,,,,,,,,,,
1059,2012,20780,0.532868146896,,,,,,,,,,,,,,
1059,2016,19001,0.642439842224,,,,,,,,,,,,,,
1059,2020,19744,0.641460716724,,,,,,,,,,,,,,
1061,2012,16856,0.672876119614,,,,,,,,,,,,,,
1061,2016,17935,0.657262325287,,,,,,,,,,,,,,
1061,2020,20112,0.62649166584,,,,,,,,,,,,,,
1063,2012,7713,0.695319592953,,,,,,,,,,,,,,
1063,2016,7322,0.669625759125,,,,,,,,,,,,,,
1063,2020,7045,0.68147623539,,,,,,,,,,,,,,
1065,2012,12851,0.676523208618,,,,,,,,,,,,,,
1065,2016,12432,0.642213642597,,,,,,,,,,,,,,
1065,2020,12561,0.633468687534,,,,,,,,,,,,,,
1067,2012,12394,0.712199449539,,,,,,,,,,,,,,
1067,2016,12761,0.639291584492,,,,,,,,,,,,,,
1067,2020,14070,0.663752675056,,,,,,,,,,,,,,
1069,2012,65611,0.640045106411,,,,,,,,,,,,,,
1069,2016,69602,0.63180655241,,,,,,,,,,,,,,
1069,2020,80366,0.576251149178,,,,,,,,,,,,,,
1071,2012,35985,0.584799230099,,,,,,,,,,,,,,
1071,2016,36977,0.572923719883,,,,,,,,,,,,,,
1071,2020,39655,0.561593770981,,,,,,,,,,,,,,
1073,2012,435704,0.700048685074,,,,,,,,,,,,,,
1073,2016,456895,0.66934633255,,,,,,,,,,,,,,
1073,2020,505586,0.645536065102,,,,,,,,,,,,,,
1075,2012,10930,0.665507793427,,,,,,,,,,,,,,
1075,2016,10899,0.642903029919,,,,,,,,,,,,,,
1075,2020,11213,0.644876480103,,,,,,,,,,,,,,
1077,2012,55723,0.671787261963,,,,,,,,,,,,,,
1077,2016,60540,0.658671975136,,,,,,,,,,,,,,
1077,2020,68218,0.65246707201,,,,,,,,,,,,,,
1079,2012,23506,0.610780239105,,,,,,,,,,,,,,
1079,2016,23477,0.636410117149,,,,,,,,,,,,,,
1079,2020,25471,0.631541728973,,,,,,,,,,,,,,
1081,2012,97401,0.561287879944,,,,,,,,,,,,,,
1081,2016,103424,0.57558208704,,,,,,,,,,,,,,
1081,2020,124082,0.577239215374,,,,,,,,,,,,,,
1083,2012,50034,0.713954508305,,,,,,,,,,,,,,
1083,2016,58229,0.697023808956,,,,,,,,,,,,,,
1083,2020,71614,0.689571857452,,,,,,,,,,,,,,
1085,2012,10690,0.709635198116,,,,,,,,,,,,,,
1085,2016,10461,0.645922958851,,,,,,,,,,,,,,
1085,2020,10361,0.665572822094,,,,,,,,,,,,,,
1087,2012,19373,0.540081560612,,,,,,,,,,,,,,
1087,2016,18504,0.496919572353,,,,,,,,,,,,,,
1087,2020,17990,0.487548649311,,,,,,,,,,,,,,
1089,2012,233838,0.665529131889,,,,,,,,,,,,,,
1089,2016,262751,0.625531375408,,,,,,,,,,,,,,
1089,2020,303191,0.644392490387,,,,,,,,,,,,,,
1091,2012,16216,0.715527892113,,,,,,,,,,,,,,
1091,2016,16507,0.670200526714,,,,,,,,,,,,,,
1091,2020,16366,0.668581187725,,,,,,,,,,,,,,
1093,2012,19715,0.624144077301,,,,,,,,,,,,,,
1093,2016,20342,0.644233584404,,,,,,,,,,,,,,
1093,2020,22074,0.627661526203,,,,,,,,,,,,,,
