County,State,Tvdma,Latitude (generated),Longitude (generated)
YUKON-KOYUKUK C.A. 27,ALASKA,"Unmeasured, AK DMA",,
YAKUTAT BOR. 26,ALASKA,"Unmeasured, AK DMA",,
WRANGELL-PETERS. C.A25,ALASKA,"Unmeasured, AK DMA",,
WADE HAMPTON C.A. 24,ALASKA,"Unmeasured, AK DMA",,
VALDEZ-CORDOVA C.A. 23,ALASKA,"Unmeasured, AK DMA",,
SKAGWAY-HOO.-ANG.C.A21,ALASKA,"Unmeasured, AK DMA",,
SITKA BOR. 20,ALASKA,"Unmeasured, AK DMA",,
PR.WALES-OUT.KET.C.A 19,ALASKA,"Unmeasured, AK DMA",,
NORTHWEST ARCTIC BO1R8.,ALASKA,"Unmeasured, AK DMA",,
NORTH SLOPE BOR. 17,ALASKA,"Unmeasured, AK DMA",,
NOME C.A. 16,ALASKA,"Unmeasured, AK DMA",,
LAKE & PENINSULA BOR14,ALASKA,"Unmeasured, AK DMA",,
KODIAK ISLAND BOR. 13,ALASKA,"Unmeasured, AK DMA",,
KETCHIKAN GATEWAY B1O2,ALASKA,"Unmeasured, AK DMA",,
HAINES BOR. 9,ALASKA,"Unmeasured, AK DMA",,
DILLINGHAM C.A. 7,ALASKA,"Unmeasured, AK DMA",,
BRISTOL BAY BOR. 5,ALASKA,"Unmeasured, AK DMA",,
BETHEL C.A. 4,ALASKA,"Unmeasured, AK DMA",,
ALEUTIANS WEST C.A. 2,ALASKA,"Unmeasured, AK DMA",,
ALEUTIANS EAST BOR. 1,ALASKA,"Unmeasured, AK DMA",,
COUNTY,STATE,TVDMA,,
WEBER,UTAH,"Salt Lake City, UT - ID - WY DMA",41.2554,-111.8947
WAYNE,UTAH,"Salt Lake City, UT - ID - WY DMA",38.33,-110.9058
WASHINGTON,UTAH,"Salt Lake City, UT - ID - WY DMA",37.3071,-113.4764
WASATCH,UTAH,"Salt Lake City, UT - ID - WY DMA",40.2966,-111.135
UTAH,UTAH,"Salt Lake City, UT - ID - WY DMA",40.1782,-111.691
UINTAH,UTAH,"Salt Lake City, UT - ID - WY DMA",40.1698,-109.5135
TOOELE,UTAH,"Salt Lake City, UT - ID - WY DMA",40.4924,-113.1134
SUMMIT,UTAH,"Salt Lake City, UT - ID - WY DMA",40.9014,-110.7554
SEVIER,UTAH,"Salt Lake City, UT - ID - WY DMA",38.7797,-111.7638
SANPETE,UTAH,"Salt Lake City, UT - ID - WY DMA",39.4342,-111.5243
SAN JUAN,UTAH,"Salt Lake City, UT - ID - WY DMA",37.7516,-109.7449
SALT LAKE,UTAH,"Salt Lake City, UT - ID - WY DMA",40.6684,-111.9031
RICH,UTAH,"Salt Lake City, UT - ID - WY DMA",41.5725,-111.2382
PIUTE,UTAH,"Salt Lake City, UT - ID - WY DMA",38.3283,-112.093
MORGAN,UTAH,"Salt Lake City, UT - ID - WY DMA",41.0775,-111.6511
MILLARD,UTAH,"Salt Lake City, UT - ID - WY DMA",39.0955,-113.0316
KANE,UTAH,"Salt Lake City, UT - ID - WY DMA",37.2729,-111.8853
JUAB,UTAH,"Salt Lake City, UT - ID - WY DMA",39.6657,-112.8826
IRON,UTAH,"Salt Lake City, UT - ID - WY DMA",37.8165,-113.3138
GRAND,UTAH,"Salt Lake City, UT - ID - WY DMA",39.0017,-109.5967
GARFIELD,UTAH,"Salt Lake City, UT - ID - WY DMA",37.8459,-111.4965
EMERY,UTAH,"Salt Lake City, UT - ID - WY DMA",39.1047,-110.7079
DUCHESNE,UTAH,"Salt Lake City, UT - ID - WY DMA",40.3319,-110.4366
DAVIS,UTAH,"Salt Lake City, UT - ID - WY DMA",40.9641,-112.0929
DAGGETT,UTAH,"Salt Lake City, UT - ID - WY DMA",40.8298,-109.6975
CARBON,UTAH,"Salt Lake City, UT - ID - WY DMA",39.641,-110.6021
CACHE,UTAH,"Salt Lake City, UT - ID - WY DMA",41.6848,-111.7322
BOX ELDER,UTAH,"Salt Lake City, UT - ID - WY DMA",41.5026,-112.9735
BEAVER,UTAH,"Salt Lake City, UT - ID - WY DMA",38.362,-113.2065
JUNEAU BOR. 10,ALASKA,"Juneau, AK DMA",,
SOUTHEAST FRBKS. C.A 22,ALASKA,"Fairbanks, AK DMA",,
FAIRBANKS NO.STAR BOR8.,ALASKA,"Fairbanks, AK DMA",,
DENALI BOR. 6,ALASKA,"Fairbanks, AK DMA",,
MATANUSKA-SUSITNA B1O5,ALASKA,"Anchorage, AK DMA",,
KENAI PENINSULA BOR. 11,ALASKA,"Anchorage, AK DMA",,
ANCHORAGE BOR. 3,ALASKA,"Anchorage, AK DMA",,
MUSKINGUM,OHIO," Zanesville, OH DMA",39.9623,-81.9624
IMPERIAL,CALIFORNIA," Yuma - El Centro, AZ - CA DMA",33.0271,-115.3605
YUMA,ARIZONA," Yuma - El Centro, AZ - CA DMA",32.7539,-113.9364
MERCER,PENNSYLVANIA," Youngstown, OH - PA DMA",41.279,-80.2594
TRUMBULL,OHIO," Youngstown, OH - PA DMA",41.3199,-80.7604
MAHONING,OHIO," Youngstown, OH - PA DMA",41.0189,-80.7594
COLUMBIANA,OHIO," Youngstown, OH - PA DMA",40.7609,-80.8031
