County,State,FIP (NOT STANDARIZED),% Rural
Autauga County,AL,1001,42
Baldwin County,AL,1003,42.3
Barbour County,AL,1005,67.8
Bibb County,AL,1007,68.4
Blount County,AL,1009,90
Bullock County,AL,1011,51.4
Butler County,AL,1013,71.2
Calhoun County,AL,1015,33.7
Chambers County,AL,1017,49.1
Cherokee County,AL,1019,85.7
Chilton County,AL,1021,86.7
Choctaw County,AL,1023,100
Clarke County,AL,1025,76
Clay County,AL,1027,100
Cleburne County,AL,1029,100
Coffee County,AL,1031,47.2
Colbert County,AL,1033,43.9
Conecuh County,AL,1035,80.9
Coosa County,AL,1037,100
Covington County,AL,1039,69.7
Crenshaw County,AL,1041,100
Cullman County,AL,1043,73.2
Dale County,AL,1045,50.9
Dallas County,AL,1047,45.6
DeKalb County,AL,1049,90.1
Elmore County,AL,1051,54.2
Escambia County,AL,1053,63.5
Etowah County,AL,1055,37.5
Fayette County,AL,1057,80.2
Franklin County,AL,1059,70.4
Geneva County,AL,1061,89.6
Greene County,AL,1063,100
Hale County,AL,1065,89.2
Henry County,AL,1067,87.8
Houston County,AL,1069,33.8
Jackson County,AL,1071,77
Jefferson County,AL,1073,9.8
Lamar County,AL,1075,100
Lauderdale County,AL,1077,49.3
Lawrence County,AL,1079,91.3
Lee County,AL,1081,27.4
Limestone County,AL,1083,57.6
Lowndes County,AL,1085,100
Macon County,AL,1087,55.5
Madison County,AL,1089,16.4
Marengo County,AL,1091,69.3
Marion County,AL,1093,88.9
Marshall County,AL,1095,53.3
Mobile County,AL,1097,20
Monroe County,AL,1099,79
Montgomery County,AL,1101,10.5
Morgan County,AL,1103,38.6
Perry County,AL,1105,100
Pickens County,AL,1107,100
Pike County,AL,1109,51.7
Randolph County,AL,1111,81.3
Russell County,AL,1113,35.4
St. Clair County,AL,1115,72.8
Shelby County,AL,1117,22.9
Sumter County,AL,1119,100
Talladega County,AL,1121,55.8
Tallapoosa County,AL,1123,74.2
Tuscaloosa County,AL,1125,25.5
Walker County,AL,1127,74.1
Washington County,AL,1129,100
Wilcox County,AL,1131,100
Winston County,AL,1133,84.9
Aleutians East Borough,AK,2013,100
Aleutians West Census Area,AK,2016,100
Anchorage Municipality,AK,2020,4.1
Bethel Census Area,AK,2050,73.9
Bristol Bay Borough,AK,2060,100
Denali Borough,AK,2068,100
Dillingham Census Area,AK,2070,100
Fairbanks North Star Borough,AK,2090,30.9
Haines Borough,AK,2100,100
Hoonah-Angoon Census Area,AK,2105,100
Juneau City and Borough,AK,2110,21.5
Kenai Peninsula Borough,AK,2122,79.3
Ketchikan Gateway Borough,AK,2130,23.2
Kodiak Island Borough,AK,2150,31.3
Lake and Peninsula Borough,AK,2164,100
Matanuska-Susitna Borough,AK,2170,50.3
Nome Census Area,AK,2180,66.1
North Slope Borough,AK,2185,59.3
Northwest Arctic Borough,AK,2188,57.5
Petersburg Census Area,AK,2195,100
Prince of Wales-Hyder Census Area,AK,2198,100
Sitka City and Borough,AK,2220,20.9
Skagway Municipality,AK,2230,100
Southeast Fairbanks Census Area,AK,2240,100
Valdez-Cordova Census Area,AK,2261,100
Wrangell City and Borough,AK,2275,100
Yakutat City and Borough,AK,2282,100
Yukon-Koyukuk Census Area,AK,2290,100
Apache County,AZ,4001,74.1
Cochise County,AZ,4003,36.3
Coconino County,AZ,4005,31.5
Gila County,AZ,4007,41.1
Graham County,AZ,4009,46.4
Greenlee County,AZ,4011,46.6
La Paz County,AZ,4012,56.3
Maricopa County,AZ,4013,2.4
Mohave County,AZ,4015,23
Navajo County,AZ,4017,54.1
Pima County,AZ,4019,7.5
Pinal County,AZ,4021,21.9
Santa Cruz County,AZ,4023,26.9
Yavapai County,AZ,4025,33.2
Yuma County,AZ,4027,10.4
Arkansas County,AR,5001,34.7
Ashley County,AR,5003,51.7
Baxter County,AR,5005,65.8
Benton County,AR,5007,25.2
Boone County,AR,5009,62.2
Bradley County,AR,5011,49.6
Calhoun County,AR,5013,100
Carroll County,AR,5015,72.8
Chicot County,AR,5017,54.3
Clark County,AR,5019,54.4
Clay County,AR,5021,58.9
Cleburne County,AR,5023,75.5
Cleveland County,AR,5025,100
Columbia County,AR,5027,57.5
Conway County,AR,5029,70.5
Craighead County,AR,5031,32.2
Crawford County,AR,5033,52
Crittenden County,AR,5035,20.9
Cross County,AR,5037,56.8
Dallas County,AR,5039,52.6
Desha County,AR,5041,31.4
Drew County,AR,5043,48.6
Faulkner County,AR,5045,38.8
Franklin County,AR,5047,82.6
Fulton County,AR,5049,92.9
Garland County,AR,5051,36.9
Grant County,AR,5053,75
Greene County,AR,5055,41.5
Hempstead County,AR,5057,55.8
Hot Spring County,AR,5059,66
Howard County,AR,5061,67.5
Independence County,AR,5063,68.6
Izard County,AR,5065,100
Jackson County,AR,5067,65.1
Jefferson County,AR,5069,30.9
Johnson County,AR,5071,71.4
Lafayette County,AR,5073,100
Lawrence County,AR,5075,63.6
Lee County,AR,5077,63.5
Lincoln County,AR,5079,100
Little River County,AR,5081,68.5
Logan County,AR,5083,71
Lonoke County,AR,5085,44.8
Madison County,AR,5087,100
Marion County,AR,5089,100
Miller County,AR,5091,40
Mississippi County,AR,5093,36.3
Monroe County,AR,5095,69
Montgomery County,AR,5097,100
Nevada County,AR,5099,69.2
Newton County,AR,5101,100
Ouachita County,AR,5103,56.3
Perry County,AR,5105,100
Phillips County,AR,5107,48
Pike County,AR,5109,100
Poinsett County,AR,5111,71.1
Polk County,AR,5113,73.4
Pope County,AR,5115,54.5
Prairie County,AR,5117,100
Pulaski County,AR,5119,12.3
Randolph County,AR,5121,67.4
St. Francis County,AR,5123,51.6
Saline County,AR,5125,36.2
Scott County,AR,5127,70.4
Searcy County,AR,5129,100
Sebastian County,AR,5131,20.8
Sevier County,AR,5133,63.6
Sharp County,AR,5135,80.1
Stone County,AR,5137,100
Union County,AR,5139,54.5
Van Buren County,AR,5141,100
Washington County,AR,5143,25.5
White County,AR,5145,54.3
Woodruff County,AR,5147,100
Yell County,AR,5149,79.1
Alameda County,CA,6001,0.4
Alpine County,CA,6003,100
Amador County,CA,6005,60.4
Butte County,CA,6007,18.9
Calaveras County,CA,6009,75.4
Colusa County,CA,6011,31.7
Contra Costa County,CA,6013,0.8
Del Norte County,CA,6015,33.7
El Dorado County,CA,6017,34.7
Fresno County,CA,6019,10.8
Glenn County,CA,6021,40.9
