state,county_name,countyfp,total_reg_count,active_reg_count,inactive_reg_count,active_percentage,inactive_percentage,active_reg_percentage,inactive_reg_percentage
AK,ALEUTIANS EAST,13,1459,1251,208,0.8574,0.1426,0.8574366004112406,0.14256339958875944
AK,ALEUTIANS WEST,16,2482,2098,384,0.8453,0.1547,0.8452860596293312,0.15471394037066882
AK,ANCHORAGE,20,234396,215213,19183,0.9182,0.0818,0.918159866,0.081840134
AK,BETHEL,50,11189,10883,306,0.9727,0.0273,0.9726517115023684,0.027348288
AK,BRISTOL BAY,60,850,804,46,0.9459,0.0541,0.9458823529411765,0.054117647
AK,CHUGACH,63,5555,5267,288,0.9482,0.0518,0.9481548154815481,0.051845184518451846
AK,COPPER RIVER,66,2816,2658,158,0.9439,0.0561,0.9438920454545454,0.056107954545454544
AK,DENALI,68,1871,1748,123,0.9343,0.0657,0.934259754,0.065740246
AK,DILLINGHAM,70,3234,3152,82,0.9746,0.0254,0.9746444032158318,0.025355596784168214
AK,FAIRBANKS NORTH STAR,90,74503,68461,6042,0.9189,0.0811,0.9189025945263949,0.081097405
AK,HAINES,100,2395,2276,119,0.9503,0.0497,0.950313152,0.049686847599164925
AK,HOONAH ANGOON,105,1899,1827,72,0.9621,0.0379,0.9620853080568721,0.037914691943127965
AK,JUNEAU,110,27216,25552,1664,0.9389,0.0611,0.938859494,0.061140506
AK,KENAI PENINSULA,122,53404,50832,2572,0.9518,0.0482,0.951838814,0.048161186
AK,KETCHIKAN GATEWAY,130,11937,11067,870,0.9271,0.0729,0.9271173661724051,0.072882634
AK,KODIAK ISLAND,150,9348,8655,693,0.9259,0.0741,0.9258664955070603,0.074133504
AK,KUSILVAK,158,4652,4554,98,0.9789,0.0211,0.9789337919174549,0.021066208
AK,LAKE AND PENINSULA,164,1077,1034,43,0.9601,0.0399,0.9600742804085423,0.039925719591457756
AK,MATANUSKA SUSITNA,170,92750,87988,4762,0.9487,0.0513,0.9486576819407008,0.051342318
AK,NOME,180,6430,6166,264,0.9589,0.0411,0.9589424572317263,0.041057543
AK,NORTH SLOPE,185,4837,4641,196,0.9595,0.0405,0.959479016,0.040520984
AK,NORTHWEST ARCTIC,188,4265,4134,131,0.9693,0.0307,0.9692848769050411,0.030715123094958968
AK,PETERSBURG,195,3328,3199,129,0.9612,0.0388,0.9612379807692307,0.038762019
AK,PRINCE OF WALES HYDER,198,4541,4360,181,0.9601,0.0399,0.960140938,0.039859062
AK,SITKA,220,7157,6636,521,0.9272,0.0728,0.9272041358110941,0.072795864
AK,SKAGWAY,230,1179,1097,82,0.9304,0.0696,0.9304495335029687,0.069550466
AK,SOUTHEAST FAIRBANKS,240,6267,6009,258,0.9588,0.0412,0.9588319770224988,0.041168023
AK,WRANGELL,275,1926,1856,70,0.9637,0.0363,0.9636552440290758,0.036344755970924195
AK,YAKUTAT,282,489,478,11,0.9775,0.0225,0.9775051124744376,0.022494887525562373
AK,YUKON KOYUKUK,290,3915,3788,127,0.9676,0.0324,0.9675606641123883,0.032439336
AL,AUTAUGA,1,42772,38809,3963,0.9073,0.0927,0.907345927,0.092654073
AL,BALDWIN,3,190475,169635,20840,0.8906,0.1094,0.8905893161832261,0.10941068381677385
AL,BARBOUR,5,16407,14651,1756,0.893,0.107,0.892972512,0.10702748826720303
AL,BIBB,7,14579,13463,1116,0.9235,0.0765,0.9234515398861376,0.07654846
AL,BLOUNT,9,42343,39201,3142,0.9258,0.0742,0.925796472,0.074203528
AL,BULLOCK,11,6850,6088,762,0.8888,0.1112,0.8887591240875913,0.11124087591240876
AL,BUTLER,13,13677,12218,1459,0.8933,0.1067,0.893324559,0.106675441
AL,CALHOUN,15,79396,71289,8107,0.8979,0.1021,0.897891581,0.10210841856012898
AL,CHAMBERS,17,24850,22243,2607,0.8951,0.1049,0.8950905432595574,0.10490945674044265
AL,CHEROKEE,19,19998,18222,1776,0.9112,0.0888,0.9111911191119112,0.088808881
AL,CHILTON,21,30422,27693,2729,0.9103,0.0897,0.910295181,0.089704819
AL,CHOCTAW,23,10136,9043,1093,0.8922,0.1078,0.8921665351223362,0.10783346487766378
AL,CLARKE,25,18286,16410,1876,0.8974,0.1026,0.8974078530022969,0.10259214699770317
AL,CLAY,27,10103,9311,792,0.9216,0.0784,0.9216074433336633,0.078392557
AL,CLEBURNE,29,11457,10293,1164,0.8984,0.1016,0.8984027232259754,0.10159727677402461
AL,COFFEE,31,36134,31978,4156,0.885,0.115,0.8849836718879726,0.11501632811202746
AL,COLBERT,33,42683,38723,3960,0.9072,0.0928,0.907223016,0.092776984
AL,CONECUH,35,9335,8400,935,0.8998,0.1002,0.8998393144081414,0.1001606855918586
AL,COOSA,37,8032,7426,606,0.9246,0.0754,0.9245517928286853,0.075448207
AL,COVINGTON,39,27344,24525,2819,0.8969,0.1031,0.8969060854300761,0.10309391456992394
AL,CRENSHAW,41,10318,9376,942,0.9087,0.0913,0.9087032370614461,0.091296763
AL,CULLMAN,43,64412,58260,6152,0.9045,0.0955,0.9044898466124325,0.095510153
AL,DALE,45,33524,29057,4467,0.8668,0.1332,0.8667521775444458,0.13324782245555422
AL,DALLAS,47,27968,24596,3372,0.8794,0.1206,0.879433638,0.12056636155606407
AL,DEKALB,49,45691,41608,4083,0.9106,0.0894,0.910638857,0.089361143
AL,ELMORE,51,60654,55718,4936,0.9186,0.0814,0.9186203712863126,0.081379629
AL,ESCAMBIA,53,26457,23533,2924,0.8895,0.1105,0.8894810447140643,0.11051895528593567
AL,ETOWAH,55,74325,66989,7336,0.9013,0.0987,0.9012983518331652,0.098701648
AL,FAYETTE,57,12377,11416,961,0.9224,0.0776,0.9223559828714551,0.077644017
AL,FRANKLIN,59,19011,17570,1441,0.9242,0.0758,0.9242017779180475,0.075798222
AL,GENEVA,61,19429,17404,2025,0.8958,0.1042,0.8957743579185753,0.10422564208142468
AL,GREENE,63,6328,5792,536,0.9153,0.0847,0.9152970922882427,0.084702908
AL,HALE,65,11693,10675,1018,0.9129,0.0871,0.9129393654323099,0.087060635
AL,HENRY,67,14099,12864,1235,0.9124,0.0876,0.9124051351159657,0.087594865
AL,HOUSTON,69,75865,67570,8295,0.8907,0.1093,0.8906610426415343,0.1093389573584657
AL,JACKSON,71,38690,35008,3682,0.9048,0.0952,0.9048332902558801,0.09516671
AL,JEFFERSON,73,468153,417011,51142,0.8908,0.1092,0.890757936,0.10924206402607695
AL,LAMAR,75,10521,9627,894,0.915,0.085,0.9150270886797833,0.084972911
